year,货运吞吐量：主要海港和河港
2001,1676.75
2002,1981.42
2003,2620.62
2004,3264.17
2005,3888.2
2006,4516.08
2007,5217.5199999999995
2008,5870.0
2009,6760.63
2010,7986.5199999999995
2011,9015.81
2012,9710.3
2013,9648.32
2014,10155.23
2015,10408.04
2016,10734.039999999999
2017,11488.14
2018,12044.08
2019,13950.831728
2020,14549.902619
2021,15545.35
2022,11554.539999999999
