year,CN: Software: Sales Revenue: ytd,CN: Software: Total Profit: ytd
2007,580010.0,
2008,757287.73,63200.0
2009,951302.92,33200.0
2010,1358855.0963,
2011,1884899.0596,157800.0
2012,2479375.2352,194900.0
2013,3058747.431,383100.0
2014,3702641.9734,384100.0
2015,4284791.59,576600.0
2016,4823222.35,602100.0
2017,5510311.87,875500.0
2018,6190873.38,896159.17
2019,7207186.65,983510.0
2020,8158591.02,1162151.91
2021,9550198.81,1168597.75
2022,10812600.0,1264800.0
2023,5516954.7,617000.0
