year,(DC)Health Expenditure: Public: % of Total Health Expenditure,(DC)Health Expenditure: Public: % of Government Expenditure,(DC)Health Expenditure: % of GDP,(DC)Health Expenditure: % of GDP: Private,(DC)Health Expenditure: % of GDP: Public
Region,China,China,China,China,China
Subnational,,,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,%,%,%,%,%
Source,World Bank,World Bank,World Bank,World Bank,World Bank
Status,Discontinued,Discontinued,Discontinued,Discontinued,Discontinued
Series ID,272200702,272221102,272261502,272180202,272241002
SR Code,SR5467747,SR5468243,SR5467633,SR5466444,SR5468629
Trade Code,,,,,
Mnemonic,,,,,
Function Description,,,,,
First Obs. Date,1995,1995,1995,1995,1995
Last Obs. Date,2014,2014,2014,2014,2014
Last Update Time,19/04/2018,19/04/2018,19/04/2018,19/04/2018,19/04/2018
Series remarks,,,,,
Suggestions,,,,,
Mean,45.723459594999994,11.291886563,4.645927019499999,2.5086144679999998,2.1373125515
Variance,57.63219862254246,4.856540692644386,0.25416185312814704,0.13061599136978513,0.2635910525201593
Standard Deviation,7.591587358553049,2.2037560419983846,0.504144674798958,0.361408344355502,0.513411192437562
Skewness,0.1212121073636339,1.392206730750345,-0.3750251275654859,-0.07205684674814077,0.8723562941259706
Kurtosis,-1.5945046408091776,0.5105068128058496,0.3343577162980491,-0.5164186926848902,-0.9980792087493988
Coefficient Variation,0.1660326542609915,0.19516278610337864,0.10851325745818854,0.14406691381463485,0.24021343629748573
Min,35.57145866,9.26155615,3.52548646,1.74510451,1.62128422
Max,55.95602829,15.9494224,5.54822768,3.07470293,3.09517429
Median,45.41740394,10.373294770000001,4.6276899149999995,2.4319630400000003,1.823508795
No. of Obs,20,20,20,20,20
1995,50.50032029,15.9494224,3.52548646,1.74510451,1.78038195
1996,46.59047117,15.90329762,3.78557264,2.02185651,1.76371613
1997,44.24433671,15.31767379,4.0245977,2.24394114,1.78065656
1998,41.81212234,14.24459122,4.33385163,2.52177628,1.81207535
1999,40.88670169,12.22525333,4.48787053,2.65292829,1.83494224
2000,38.28318409,10.81523021,4.59690987,2.8370664,1.75984347
2001,35.57145866,9.28649285,4.55782328,2.93653906,1.62128422
2002,35.83377409,9.26155615,4.78507297,3.07040073,1.71467224
2003,36.22579582,9.54096752,4.82123292,3.07470293,1.74652999
2004,37.97351616,9.99552988,4.72284375,2.92941392,1.79342983
2005,38.76638298,9.79346707,4.65846996,2.85254965,1.80592031
2006,40.65388374,9.93674719,4.52241742,2.6838791,1.83853832
2007,46.92996439,11.06281576,4.31833293,2.29174082,2.02659211
2008,49.94764686,10.13371551,4.58905193,2.29692848,2.29212345
2009,52.49844515,10.31396151,5.07535532,2.41087269,2.66448263
2010,54.31100194,10.23713459,4.88633979,2.23251969,2.6538201
2011,55.89040807,10.61685285,5.02886408,2.21821142,2.81065266
2012,55.95602829,10.48547293,5.26451547,2.3187017,2.94581377
2013,55.80702865,10.28492085,5.38570406,2.38010265,3.00560141
2014,55.78672081,10.43262803,5.54822768,2.45305339,3.09517429
