year,CN: No of Student Studying Abroad,CN: No of Returned Student from Abroad,CN: Number of Foreign Student
Region,China,China,China
Subnational,,,
Frequency,"Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year","Annual, ending ""Dec"" of each year"
Unit,Person,Person,Person
Source,Ministry of Education,Ministry of Education,Ministry of Education
Status,Active,Active,Active
Series ID,258765201 (CGBRMQ),258765301 (CGBRMR),397681507 (CGCJKA)
SR Code,SR4004144,SR202486867,SR111824887
Trade Code,,,
Mnemonic,,,
Function Description,,,
First Obs. Date,1952,1957,1996
Last Obs. Date,2019,2020,2018
Last Update Time,09/10/2021,13/01/2023,09/10/2021
Series remarks,,,
Suggestions,,,
Mean,136416.70212765958,105633.12765957447,215817.73913043478
Variance,41958540509.60502,36526555844.070305,24021096353.01976
Standard Deviation,204837.83954534624,191119.21892910273,154987.40707883256
Skewness,1.5438421971261869,1.955224497840088,0.44201869025544005
Kurtosis,1.1754671187939438,3.020264613767824,-1.17149163568835
Coefficient Variation,1.5015598262568886,1.8092735031478535,0.7181402590134729
Min,114,162,41200
Max,703500,777000,492185
Median,20381,7130,195503
No. of Obs,47,47,23
1952,231,,
1957,529,347,
1962,114,980,
1965,454,199,
1975,245,186,
1978,860,248,
1979,1777,231,
1980,2124,162,
1981,2922,1143,
1982,2326,2116,
1983,2633,2303,
1984,3073,2290,
1985,4888,1424,
1986,4676,1388,
1987,4703,1605,
1988,3786,3000,
1989,3329,1753,
1990,2950,1593,
1991,2900,2069,
1992,6540,3611,
1993,10742,5128,
1994,19071,4230,
1995,20381,5750,
1996,20905,6570,41200
1997,22410,7130,43700
1998,17622,7379,43100
1999,23749,7748,44700
2000,38989,9121,52150
2001,83973,12243,61869
2002,125179,17945,85829
2003,117307,20152,77715
2004,114682,24726,111200
2005,118515,34987,141087
2006,134000,42000,162695
2007,144000,44000,195503
2008,179800,69300,223499
2009,229300,108300,238184
2010,284700,134800,265090
2011,339700,186200,292611
2012,399600,272900,328330
2013,413900,353500,356499
2014,459800,364800,377054
2015,523700,409100,397635
2016,544500,432500,442773
2017,608400,480900,489200
2018,662100,519400,492185
2019,703500,580300,
2020,,777000,
