year,固定资产投资：年初至今
1994,932250.0
1995,1455160.0
1996,1738796.0
1997,1879125.0
1998,2110232.0
1999,2241904.0
2000,2424282.0
2001,2782662.0
2002,3294176.0
2003,4264342.0
2004,5862028.0
2005,7509648.0
2006,9347236.0
2007,11741391.0
2008,14816724.53
2009,19413862.2
2010,24141493.16
2011,30193284.75
2012,36483506.71
2013,43652769.57
2014,50200490.09
2015,55159003.83
2016,59650075.2
2017,63168396.37
2018,63563600.0
2019,55147800.0
2020,51890700.0
2021,54454700.0
2022,42141200.0
