year,CN: Private Equity: No of Inv Case,CN: Venture Capital: No of Inv Case
2006,0.0,332
2007,0.0,399
2008,79.0,318
2009,96.0,278
2010,345.0,697
2011,404.0,976
2012,275.0,566
2013,282.0,683
2014,382.0,1791
2015,1533.0,4139
2016,1734.0,4313
2017,2259.0,9026
2018,3643.0,10313
2019,2741.0,5428
2020,289.0,422
