year,CN: Industrial Inventory,CN: Industrial Inventory: Coal,CN: Industrial Inventory: Petroleum & Natural Gas,CN: Industrial Inventory: Ferrous Metal,CN: Industrial Inventory: Non Ferrous Metal,CN: Industrial Inventory: Non Metal Mineral
Region,China,China,China,China,China,China
Subnational,,,,,,
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly
Unit,RMB bn,RMB bn,RMB bn,RMB bn,RMB bn,RMB bn
Source,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics,National Bureau of Statistics
Status,Active,Active,Active,Active,Active,Active
Series ID,389073307 (CBRCMKE),389073327 (CBRCMKG),389073347 (CBRCMKI),389073367 (CBRCMKK),389073387 (CBRCMKM),389073407 (CBRCMKO)
SR Code,SR107478567,SR107478577,SR107478587,SR107478597,SR107478607,SR107478617
Trade Code,,,,,,
Mnemonic,,,,,,
Function Description,,,,,,
First Obs. Date,01/2010,01/2012,01/2012,01/2012,01/2012,01/2012
Last Obs. Date,06/2023,06/2023,06/2023,06/2023,06/2023,06/2023
Last Update Time,28/07/2023,28/07/2023,28/07/2023,28/07/2023,28/07/2023,28/07/2023
Series remarks,,,,,,
Suggestions,,,,,,
03/2022,15128.87,124.45,18.13,38.89,29.71,30.21
04/2022,15595.91,128.73,19.45,39.14,31.34,31.53
05/2022,15922.46,128.92,19.72,39.07,31.34,32.41
06/2022,15812.36,132.25,20.46,40.17,31.54,33.08
07/2022,15975.62,136.41,53.15,40.59,32.17,33.67
08/2022,15945.86,135.79,21.37,40.39,32.64,34.25
09/2022,15853.8,136.06,20.95,41.42,32.31,35.51
10/2022,16083.12,141.17,21.2,40.96,32.66,36.38
11/2022,16293.69,151.8,21.93,40.99,33.76,35.92
12/2022,15913.44,144.21,19.54,40.35,32.58,37.64
01/2023,15989.8,139.65,19.01,39.37,33.22,41.66
02/2023,15989.8,139.65,19.01,39.37,33.22,41.66
03/2023,16097.58,145.45,18.06,39.73,33.15,42.52
04/2023,16139.39,146.6,18.55,39.78,34.76,43.4
05/2023,16091.8,145.97,18.88,39.18,35.69,42.49
06/2023,15873.42,148.14,19.05,36.93,37.38,43.06
