year,已开发土地面积：年初至今
1997,61580.0
1998,60880.8
1999,84271.6
2000,103005.4
2001,145089.0
2002,173467.9
2003,208537.5
2004,197402.0
2005,207622.0
2006,266056.0
2007,268707.7
2008,260332.7
2009,230060.4
2010,212536.553
