,CN: Export: Agriculture Product (AP),CN: Export: Refined Petroleum Product,CN: Export: Basic Organic Chemical,CN: Export: Plastic Article,"CN: Export: Textile Yarn, Fabric & Article thereof (TY)",CN: Export: Garment & Clothing Accessory (GC),CN: Export: Furniture & Part thereof,CN: Export: Mechanical & Electrical Product (ME),CN: Export: Hi-Tech Product (HT),CN: (DC)Export: ME: Others,CN: (DC)Export: ME: Metal Product,CN: (DC)Export: ME: Machinery,CN: (DC)Export: ME: Transport Equipment,CN: (DC)Export: ME: Electric & Electronic Product,CN: (DC)Export: ME: Instrument & Apparatus
06/1999,,91.124,,322.972,1009.468,2046.656,,6326.476,,,,,,,
07/1999,,91.144,,349.545,1125.026,2863.986,,6812.065,,,,,,,
08/1999,,106.774,,344.338,1137.08,3585.162,,6931.273,,,,,,,
09/1999,,110.829,,346.249,1142.377,3530.905,,7072.32,,,,,,,
10/1999,,142.215,,353.674,1133.329,3112.943,,7353.687,,,,,,,
11/1999,,126.317,,370.38,1301.013,3142.347,,7615.894,,,,,,,
12/1999,,157.831,,395.404,1282.368,2930.613,,8038.485,,,,,,,
01/2000,,100.174,,387.216,1077.683,2712.433,,6739.608,2072.903,490.35,666.971,1735.763,619.479,2841.502,384.81
02/2000,,151.371,,320.359,964.744,2026.195,,5909.627,1876.886,374.791,572.695,1576.222,656.456,2411.286,318.177
03/2000,,195.167,,415.086,1402.719,2541.309,,8387.426,3118.783,486.238,722.327,2274.245,680.15,3673.735,550.732
04/2000,,155.493,,438.049,1543.232,2837.43,,8311.65,2739.256,535.597,839.575,2214.479,623.202,3584.081,514.716
05/2000,,189.357,,415.417,1461.312,2769.563,,8466.661,2757.503,529.933,773.686,2188.139,784.182,3657.081,533.641
06/2000,,173.976,,419.356,1479.899,3051.776,,9304.029,3122.235,616.331,801.462,2323.936,1038.405,3959.549,564.347
07/2000,,147.362,,414.411,1334.912,3381.905,,8833.098,3000.593,668.454,807.024,2095.391,765.207,3942.229,554.793
08/2000,,110.46,,434.296,1438.873,3843.816,,10015.525,3699.904,799.373,866.217,2580.679,805.27,4375.615,588.372
09/2000,,227.262,,429.239,1378.568,3664.76,,10189.416,3586.507,855.703,832.418,2530.007,1036.258,4316.082,618.949
10/2000,,169.988,,405.933,1349.133,3208.37,,9649.627,3533.868,820.54,787.072,2399.631,833.932,4270.968,537.484
11/2000,,219.401,,400.185,1367.632,2934.233,,9952.531,3872.961,749.555,800.136,2510.558,686.978,4603.691,601.612
12/2000,,267.173,,415.067,1355.07,3049.419,,9561.183,3661.946,610.503,839.958,2389.571,739.314,4428.154,553.685
01/2001,,140.144,,340.883,1017.172,2338.79,286.953,7456.39,2944.9,444.659,683.735,1901.799,675.889,3339.064,411.244
02/2001,,238.26,,372.654,1230.28,2336.347,335.971,8659.416,3453.946,550.02,706.426,2481.248,877.861,3563.636,480.225
03/2001,,209.677,,435.089,1578.851,2847.677,378.788,10111.325,3805.78,666.333,905.436,3058.44,820.933,4067.528,592.655
04/2001,,184.947,,444.06,1596.444,2853.805,366.412,10178.114,3645.17,611.399,917.376,2925.51,980.523,4131.911,611.395
05/2001,,196.601,,409.718,1538.971,2742.331,297.748,8901.277,3152.717,571.456,849.902,2476.835,726.704,3766.548,509.832
06/2001,,138.746,,428.85,1452.111,3097.731,302.645,9737.828,3626.489,634.057,847.901,2746.13,847.342,4129.058,533.34
07/2001,,247.395,,451.543,1371.541,3570.758,282.272,9679.172,3560.746,712.54,871.243,2480.258,902.893,4166.202,546.037
08/2001,,205.692,,455.759,1402.994,3775.29,291.72,10374.246,3837.846,817.867,895.185,2760.351,885.682,4468.572,546.589
09/2001,,160.356,,437.103,1454.06,3783.341,298.172,10614.471,4103.259,829.905,919.03,2870.619,712.792,4697.908,584.218
10/2001,,155.037,,425.138,1321.199,3156.658,323.995,10777.008,4531.18,722.596,840.01,3014.25,740.82,4941.42,517.912
11/2001,,110.125,,435.302,1467.023,3079.481,375.349,11226.087,4950.786,659.308,921.718,3290.137,668.124,5117.189,569.611
12/2001,,147.564,,461.451,1423.733,3002.421,419.927,11275.104,5043.116,584.07,922.002,3620.147,661.27,4932.995,554.62
01/2002,,78.999,,455.592,1375.489,2969.113,461.131,9882.393,4046.653,575.429,935.582,3295.64,541.769,4025.037,508.936
02/2002,,112.89,,377.566,1116.444,2324.433,363.463,9226.068,4121.789,459.416,790.501,3186.387,570.176,3784.556,435.031
03/2002,,143.742,,467.764,1571.362,2586.114,472.138,11735.206,5161.125,591.649,922.182,4097.356,760.973,4842.201,520.846
04/2002,,182.551,,532.482,1849.564,2978.531,487.99,12888.542,5157.946,696.013,1113.314,4221.621,975.518,5266.088,615.988
05/2002,,184.349,,493.512,1762.581,2847.837,434.566,11804.337,4603.363,735.029,1015.626,3851.368,916.893,4731.902,553.518
06/2002,,177.838,,489.052,1691.636,3179.455,403.78,12526.195,5334.685,834.853,975.072,4086.736,873.651,5184.165,571.718
07/2002,,245.567,,538.237,1834.323,4143.395,415.58,13576.085,5633.407,953.373,1106.202,4129.094,1029.881,5718.309,639.226
08/2002,,218.845,,537.411,1801.688,4460.617,406.106,13609.804,5720.55,1109.639,1108.598,3968.154,877.281,5884.004,662.129
09/2002,,239.519,,562.984,1889.734,4546.264,435.147,15416.975,6546.667,1424.462,1150.822,4604.518,1055.992,6452.462,728.719
10/2002,,252.367,,502.495,1845.912,3955.51,413.547,14923.767,6513.073,1319.073,1091.281,4733.17,982.279,6109.945,688.019
11/2002,,231.949,,536.616,1868.448,3498.866,522.433,15872.889,7556.331,1105.572,1175.88,5260.471,880.053,6723.007,727.906
12/2002,,317.738,,560.731,1982.907,3709.365,545.907,15654.595,7445.356,862.76,1193.159,5416.856,1033.548,6430.002,718.27
01/2003,,239.111,,572.109,1855.608,3752.751,573.072,14790.782,6694.268,844.852,1201.948,5114.475,1110.499,5813.168,705.841
02/2003,,377.004,,436.411,1427.987,2560.619,446.808,12354.128,5727.385,639.146,913.115,4620.148,820.07,4743.795,617.853
03/2003,,356.817,,601.105,2077.606,3422.678,628.804,16251.347,7354.1,868.263,1251.05,5967.151,1146.867,6258.017,760.001
04/2003,,295.494,,655.087,2445.438,3822.377,654.815,18135.302,8097.13,914.012,1409.659,6604.369,1418.487,6947.82,840.956
05/2003,,256.067,,604.756,2386.065,3660.607,576.482,17309.355,7840,837.825,1366.322,6462.445,1291.872,6516.131,834.76
06/2003,,340.386,,578.267,2220.299,4117.862,533.647,17378.147,8192.586,852.387,1277.334,6593.61,1220.304,6604.106,830.407
07/2003,,291.61,,626.27,2314.138,5264.751,563.676,19157.297,9036.726,1127.88,1347.662,6910.642,1425.922,7398.151,947.04
08/2003,,271.287,,603.839,2204.931,5370.581,520.487,18873.955,9049.937,1377.302,1291.921,6717.877,1284.087,7351.042,851.727
09/2003,,355.46,,636.086,2391.528,5467.807,584.16,22171.638,11250.405,1623.953,1402.958,8080.17,1322.199,8727.685,1014.673
10/2003,,243.659,,630.121,2377.435,5070.626,650.149,22038.968,11285.156,1467.223,1387.936,8046.853,1325.725,8847.151,964.079
11/2003,,262.257,,634.707,2391.953,4432.184,735.694,23238.345,12464.322,1258.506,1420.973,8774.219,1417.67,9317.551,1049.427
12/2003,,428.221,,743.285,2848.048,4989.741,830.887,25795.212,13270.504,1140.832,1644.582,9513.552,1825.023,10515.188,1156.036
01/2004,,124.363,,633.677,2168.17,4212.182,747.83,18965.034,9626.265,878.592,1452.111,7352.789,1115.731,7268.785,897.026
