year,土地购买面积：年初至今
1998,80280.0
1999,109030.6
2000,152671.8
2001,216606.0
2002,303823.2
2003,369650.3
2004,397847.0
2005,382099.0
2006,367910.2
2007,406091.8
2008,367853.7
2009,319060.8
2010,409695.338
2011,409729.489
2012,356667.964
2013,388143.811
2014,333830.332
2015,228107.888
2016,220252.473
2017,255082.924
2018,291415.68
2019,258222.894
2020,255362.826
2021,215898.573
2022,64487.158
