year,工业生产：汽车
1986,368.6
1987,472.0
1988,646.0
1989,575.9
1990,507.5
1991,713.6
1992,1084.9
1993,1307.0
1994,1405.2
1995,1512.4
1996,1546.2
1997,1644.0
1998,1752.6
1999,1927.2
2000,2184.9
2001,2476.9
2002,3448.3
2003,4461.6
2004,5186.4
2005,6097.900000000001
2006,7596.9
2007,9205.6
2008,9648.3
2009,14195.8
2010,18755.0
2011,19186.0
2012,20631.0
2013,23845.705
2014,21354.0
2015,25219.0
2016,23941.0
2017,25223.0
2018,23879.0
2019,22084.0
2020,22899.0
2021,22680.0
2022,15868.0
