year,政府收入：税收
1995,603.8
1996,690.982
1997,823.4
1998,926.28
1999,1068.258
2000,1258.1509999999998
2001,1530.138
2002,1763.645
2003,2001.731
2004,2414.19
2005,2877.854
2006,3480.9719999999998
2007,4562.197
2008,5422.379
2009,5952.159
2010,7321.079
2011,7284.3550000000005
2012,10060.088
2013,11049.7
2014,11915.8
2015,12489.2
2016,13035.4
2017,14436.0
2018,15640.1
2019,12287.8
2020,12313.453
2021,13566.7
2022,8355.3
