year,CN: Export,CN: Import
2011,1453.66,1866.66
2012,1361.31,2086.25
2013,1296.97,2302.86
2014,1519.47,2371.9700000000003
2015,1569.29,2377.86
2016,1425.6,2552.57
2017,1498.5,2773.63
2018,1576.48,2876.44
2019,1567.366866,3010.824536
2020,1633.160725,3278.921295
2021,1737.000406,3245.893337
2022,1719.489853,3097.068054
2023,654.374316,1167.901812
